Ticker,Total P&L,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Total Trades
TITAN.NS,48159.123202510295,57.534246575342465,8.242842600848954,2.50911077916048,73
TECHM.NS,34424.544152851624,54.09836065573771,6.553565056307546,1.9716421469602499,61
TATAMOTORS.NS,32799.22886263131,55.223880597014926,6.888100985147745,1.9085470592726048,67
BAJAJ-AUTO.NS,33901.049013099575,57.407407407407405,8.791379044137546,1.5986425907268904,54
UPL.NS,30461.441647213243,51.515151515151516,12.822646821561612,1.4880023527013337,66
BAJFINANCE.NS,25296.041172815487,50.81967213114754,7.634915887782842,1.4073060406093647,61
APOLLOHOSP.NS,25922.36368050422,52.307692307692314,11.147265916659832,1.3953604658269958,65
RELIANCE.NS,24162.92601048402,54.166666666666664,10.738962127640871,1.3563129334196535,72
INFY.NS,19852.589291809927,52.083333333333336,9.04543192042969,1.175449718489773,48
INDUSINDBK.NS,16647.822556225292,50.76923076923077,8.658004348040121,1.0180683268120927,65
GRASIM.NS,17324.304311232336,47.674418604651166,9.050940412612189,0.9779326672530904,86
WIPRO.NS,11081.128553353774,43.93939393939394,10.424035236838709,0.696357595319879,66
NESTLEIND.NS,12541.589695828443,50.0,10.885134359739459,0.6861480274114538,58
CIPLA.NS,10957.564908162327,50.0,10.758064682516709,0.6488421196885006,54
ICICIBANK.NS,10156.39820662496,49.275362318840585,9.908886244473493,0.6426787735823501,69
KOTAKBANK.NS,10608.08843618416,50.76923076923077,11.287082764185936,0.6036888414593279,65
HEROMOTOCO.NS,10941.78305529349,44.871794871794876,14.069443157352005,0.6001099414787001,78
M&M.NS,9592.210855010286,46.55172413793103,11.187964560660793,0.5698808280221235,58
LTIM.NS,9005.21501322274,44.44444444444444,15.213911834031702,0.5104418007373501,72
ADANIENT.NS,8900.631167765707,45.45454545454545,16.19317646989241,0.5060468615710094,44
HDFCBANK.NS,7577.050787623331,45.45454545454545,17.28799966335114,0.48562862985921973,66
EICHERMOT.NS,4432.833246125025,45.16129032258064,16.3521533387608,0.3374403607092879,62
HCLTECH.NS,3922.687189178032,44.15584415584416,15.274448210564787,0.31004546588992243,77
ADANIPORTS.NS,4228.211865853227,45.28301886792453,13.93782580244736,0.3076638136694885,53
ITC.NS,3258.136563474487,43.93939393939394,18.245509330068334,0.2753915118584987,66
POWERGRID.NS,3415.1556436556566,46.34146341463415,14.150572153458796,0.27206663935814984,82
MARUTI.NS,2686.14244346146,42.857142857142854,27.16359346393618,0.2437421371495706,77
TCS.NS,1516.8311715548043,44.26229508196721,14.014769262717,0.1762626896173325,61
SBILIFE.NS,1010.7013713315828,44.61538461538462,12.919669224413441,0.1628898542556463,65
BAJAJFINSV.NS,-21.76456036340096,48.333333333333336,19.32725833977081,0.10038869955534513,60
DRREDDY.NS,-537.4918626675644,42.42424242424242,12.079263844341812,0.06887131519220399,66
BPCL.NS,-1304.5149093441723,45.45454545454545,13.767324999701888,0.03766685095830475,77
BRITANNIA.NS,-2475.343392467621,42.42424242424242,17.50892269526388,0.01074036913244714,66
NTPC.NS,-2428.565934793878,45.56962025316456,21.782544466111062,-0.01137712677267091,79
ONGC.NS,-2437.534984716738,43.54838709677419,13.246556006997102,-0.031739275653385364,62
ULTRACEMCO.NS,-2898.031241454257,40.0,19.720841698076164,-0.06686837818066192,65
TATACONSUM.NS,-4921.585100100172,40.69767441860465,23.001718198363452,-0.09803327761593685,86
JSWSTEEL.NS,-6499.081075048642,37.80487804878049,17.611187271175837,-0.18784172739716354,82
COALINDIA.NS,-8221.75920674199,40.0,19.64917683425435,-0.1957234577988054,70
SUNPHARMA.NS,-8198.600557598053,40.42553191489361,20.45218545808534,-0.24414685259010602,94
SBIN.NS,-7073.100201451278,41.935483870967744,17.218255110449025,-0.24943600043198708,62
HINDUNILVR.NS,-7183.204301624326,42.64705882352941,23.29591703567615,-0.30037190675502806,68
DIVISLAB.NS,-9227.247039204172,39.6551724137931,24.73828656208676,-0.32051452517479556,58
AXISBANK.NS,-13893.944838866402,40.50632911392405,18.347218462759642,-0.5243240569178552,79
HINDALCO.NS,-12538.43819646546,38.15789473684211,22.233379153975047,-0.578570451732399,76
HDFCLIFE.NS,-22384.267668760935,35.38461538461539,28.19216099014113,-0.9041837129528983,65
BHARTIARTL.NS,-28161.86756152443,35.2112676056338,40.61141620547971,-1.0909885824640155,71
ASIANPAINT.NS,-30850.220385059918,34.78260869565217,34.40166460974649,-1.5865511846620972,69
TATASTEEL.NS,-33561.05694547403,30.88235294117647,39.1929481012909,-2.0075220793955117,68
