entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,JSWSTEEL.NS,short,747.3364865931816,-98,762.3060445367063,717.7201754810063,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-19,762.3060445367063,-1467.0166784654211,Stop-Loss
2023-01-19,JSWSTEEL.NS,short,751.8201212923666,-105,773.7409026611086,732.2494751627926,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-20,732.2494751627926,2054.9178436052716,Take-Profit
2023-01-20,JSWSTEEL.NS,short,748.9131708753031,-108,766.3118558999195,725.8297976021908,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-23,725.8297976021908,2493.0043134961315,Take-Profit
2023-01-23,JSWSTEEL.NS,long,726.790684610896,106,712.9670907962172,754.189386750877,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-24,712.9670907962172,-1465.3009443559545,Stop-Loss
2023-01-24,JSWSTEEL.NS,long,724.2778832106361,109,706.0717607187973,746.1385109361348,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-27,706.0717607187973,-1984.4673516104244,Stop-Loss
2023-01-30,JSWSTEEL.NS,long,714.4237109704885,117,694.8403386060678,732.1424676333158,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-31,694.8403386060678,-2291.2545666372234,Stop-Loss
2023-01-31,JSWSTEEL.NS,long,698.3615307458211,115,675.1418222577944,713.2260240989825,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,713.2260240989825,1709.4167356135586,Take-Profit
2023-02-01,JSWSTEEL.NS,long,711.4675514547604,109,688.7716341140481,728.9675941304879,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-22,688.7716341140481,-2473.8549901376405,Stop-Loss
2023-02-23,JSWSTEEL.NS,long,691.6606802367638,124,674.5581232627802,709.9804857147305,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-24,674.5581232627802,-2120.7170647739676,Stop-Loss
2023-02-27,JSWSTEEL.NS,short,674.5145854291278,-126,689.9438762843573,655.0917790492423,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-08,655.0917790492423,2447.273603865575,Take-Profit
2023-03-08,JSWSTEEL.NS,short,660.2259927339791,-134,678.4001291418406,645.765831228848,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-09,678.4001291418406,-2435.334278653442,Stop-Loss
2023-03-09,JSWSTEEL.NS,short,667.2225300560508,-137,679.2165784333479,647.3214582477236,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-13,679.2165784333479,-1643.1846276896995,Stop-Loss
2023-03-14,JSWSTEEL.NS,long,668.1093684993198,147,652.9580497255383,682.7928314857405,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-16,652.9580497255383,-2227.2438597458718,Stop-Loss
2023-03-16,JSWSTEEL.NS,short,665.3502623707586,-149,682.327126871713,652.9463178168828,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-20,652.9463178168828,1848.1877385274968,Take-Profit
2023-03-20,JSWSTEEL.NS,long,663.0838448137937,133,652.4172289748587,685.3535050843028,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-21,652.4172289748587,-1418.6599065783475,Stop-Loss
2023-03-21,JSWSTEEL.NS,short,661.7042053428934,-136,672.1707412244941,640.046331850414,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-29,672.1707412244941,-1423.4488798977018,Stop-Loss
2023-03-31,JSWSTEEL.NS,long,669.094786066492,134,654.9716127434275,687.695829004857,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-11,687.695829004857,2492.5397537409135,Take-Profit
2023-04-12,JSWSTEEL.NS,long,709.3981707645881,119,687.3709330615847,724.282094947835,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-28,724.282094947835,1771.1869778063815,Take-Profit
2023-04-28,JSWSTEEL.NS,short,725.2632815001539,-143,734.5070448596072,703.9708518082842,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-02,734.5070448596072,-1321.8581604018195,Stop-Loss
2023-05-02,JSWSTEEL.NS,long,721.2723454900001,145,701.7864827678865,731.9631971297972,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-11,701.7864827678865,-2825.4500947064817,Stop-Loss
2023-05-11,JSWSTEEL.NS,short,716.8872520178278,-156,725.8163912349133,697.7388098964176,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-12,697.7388098964176,2987.156970939991,Take-Profit
2023-05-12,JSWSTEEL.NS,long,689.6899580132983,150,687.7736643500233,716.8472317129897,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-15,687.7736643500233,-287.44404949125624,Stop-Loss
2023-05-15,JSWSTEEL.NS,long,691.6607284635758,153,680.1287940463906,708.761237658198,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-18,680.1287940463906,-1764.3859658293354,Stop-Loss
2023-05-18,JSWSTEEL.NS,short,690.5767622967139,-163,696.4664531234033,669.617828940931,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-22,696.4664531234033,-960.0196047503704,Stop-Loss
2023-05-22,JSWSTEEL.NS,long,681.9051815436472,172,672.7983924279713,698.3010163134861,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-23,698.3010163134861,2820.0835804122858,Take-Profit
2023-05-23,JSWSTEEL.NS,long,699.6425685425435,163,682.8243416834496,709.6506946499319,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-25,682.8243416834496,-2741.370978032305,Stop-Loss
2023-05-25,JSWSTEEL.NS,short,682.8905874882183,-169,696.9132917346703,671.0914817886687,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-29,696.9132917346703,-2369.8370176503895,Stop-Loss
2023-05-29,JSWSTEEL.NS,long,692.9910304962822,175,680.7288137512089,705.7767021077632,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-30,705.7767021077632,2237.492532009176,Take-Profit
2023-06-01,JSWSTEEL.NS,short,688.704467067337,-183,696.3648781366235,672.512417530075,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-02,696.3648781366235,-1401.8552256794314,Stop-Loss
2023-06-02,JSWSTEEL.NS,long,687.8175948830666,189,673.7994090222971,696.9663275210518,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-05,696.9663275210518,1729.1104685791984,Take-Profit
2023-06-05,JSWSTEEL.NS,short,698.6078998123776,-173,707.1402050262149,681.8279932332761,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-07,707.1402050262149,-1476.0888019938488,Stop-Loss
2023-06-07,JSWSTEEL.NS,long,704.8158968500422,178,691.9408907373137,716.4643103971234,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-08,716.4643103971234,2073.417611380452,Take-Profit
2023-06-08,JSWSTEEL.NS,long,719.1044384859271,158,707.2088778776814,734.9650264365289,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-09,734.9650264365289,2505.9728961950887,Take-Profit
